,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
1,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,631.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,613.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,654.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,602.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,557.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,580.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,599.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,640.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,634.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,271.0,0.0,L49501-1F,L40720_1M,M,KO,21
1,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,493.0,10.0,L49501-1F,L40720_1M,M,KO,21
2,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,527.0,20.0,L49501-1F,L40720_1M,M,KO,21
3,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,516.0,30.0,L49501-1F,L40720_1M,M,KO,21
4,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,545.0,40.0,L49501-1F,L40720_1M,M,KO,21
5,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,506.0,50.0,L49501-1F,L40720_1M,M,KO,21
6,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,502.0,60.0,L49501-1F,L40720_1M,M,KO,21
7,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,535.0,70.0,L49501-1F,L40720_1M,M,KO,21
8,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,598.0,80.0,L49501-1F,L40720_1M,M,KO,21
9,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,615.0,90.0,L49501-1F,L40720_1M,M,KO,21
0,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,235.0,0.0,L49501-1F,L40720_1M,M,KO,21
1,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,418.0,10.0,L49501-1F,L40720_1M,M,KO,21
2,Seg_DAPI_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,512.0,20.0,L49501-1F,L40720_1M,M,KO,21
