,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
7,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,46.0,70.0,L49501-1F,L40720_1M,M,KO,21
8,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,45.0,80.0,L49501-1F,L40720_1M,M,KO,21
9,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,132.0,90.0,L49501-1F,L40720_1M,M,KO,21
0,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,30.0,0.0,L49501-1F,L40720_1M,M,KO,21
1,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,22.0,10.0,L49501-1F,L40720_1M,M,KO,21
2,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,33.0,20.0,L49501-1F,L40720_1M,M,KO,21
3,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,23.0,30.0,L49501-1F,L40720_1M,M,KO,21
4,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,44.0,40.0,L49501-1F,L40720_1M,M,KO,21
5,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,40.0,50.0,L49501-1F,L40720_1M,M,KO,21
6,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,29.0,60.0,L49501-1F,L40720_1M,M,KO,21
7,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,38.0,70.0,L49501-1F,L40720_1M,M,KO,21
8,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,48.0,80.0,L49501-1F,L40720_1M,M,KO,21
9,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,149.0,90.0,L49501-1F,L40720_1M,M,KO,21
