#Selection name: Selection 5
#Area (µm^2): 1389450.20
Cell ID,Cluster,Transcripts,Area (µm^2)
mmhnjaih-1,Cluster 2,0,42.58
bagkpplf-1,Cluster 9,0,182.16
mmekanjj-1,Cluster 1,1,73.92
mmefahja-1,Cluster 9,0,132.80
bagnlmhm-1,Cluster 9,0,178.77
mmegiklc-1,Cluster 1,0,89.82
mmenfnep-1,Cluster 9,0,102.82
baoinahj-1,Cluster 22,0,152.36
mlpalcoc-1,Cluster 7,3,86.97
obbiojho-1,Cluster 12,0,85.71
mmeocedn-1,Cluster 1,6,116.10
mlpajhik-1,Cluster 7,0,61.10
oigfhhdi-1,Cluster 1,1,128.79
baoidnna-1,Cluster 24,0,186.41
mlpajflh-1,Cluster 8,0,76.81
mlpadfif-1,Cluster 2,0,24.25
mlpdbfal-1,Cluster 9,2,150.91
baoiehdl-1,Cluster 9,0,217.07
bagnfhbd-1,Cluster 9,1,161.21
mlpkphnm-1,Cluster 1,3,83.67
mmapinip-1,Cluster 1,0,81.06
bagpeccn-1,Cluster 9,0,217.34
mmahfcef-1,Cluster 24,0,83.09
oigfbdec-1,Cluster 1,0,15.31
bagpdiob-1,Cluster 9,0,193.27
mmahikhh-1,Cluster 1,9,99.57
mmapfpke-1,Cluster 9,0,167.85
mmajfheg-1,Cluster 9,0,179.50
bagmiibf-1,Cluster 9,0,173.49
mlpcoeap-1,Cluster 9,2,117.99
mmenfoha-1,Cluster 9,1,210.52
mmekbijf-1,Cluster 9,1,195.66
mmapjbhi-1,Cluster 1,0,93.34
mmaonaco-1,Cluster 9,1,206.82
mmagdbji-1,Cluster 7,0,42.63
mlplimcp-1,Cluster 1,0,65.70
mlplegdg-1,Cluster 7,0,52.56
bahbdlag-1,Cluster 9,0,189.11
mlpakibi-1,Cluster 7,1,64.21
mmagjjag-1,Cluster 1,1,57.08
bahccgbd-1,Cluster 19,0,258.97
mmemhcgh-1,Cluster 9,0,183.20
mmemnklk-1,Cluster 9,0,231.34
mmagggbn-1,Cluster 7,0,33.10
mlpjkoic-1,Cluster 6,0,55.95
apffmkbf-1,Cluster 9,0,196.34
mmempfoa-1,Cluster 12,1,47.37
apffhnkn-1,Cluster 9,1,182.07
mmadojkf-1,Cluster 7,0,128.65
mmafncpo-1,Cluster 7,0,32.20
mijhjbdk-1,Cluster 1,3,84.13
mijeepka-1,Cluster 7,4,96.09
mijeglfl-1,Cluster 7,0,26.64
mijcdiph-1,Cluster 9,0,181.98
mijgkdck-1,Cluster 7,0,15.04
mijccjkf-1,Cluster 24,0,91.40
mijdkdmp-1,Cluster 2,0,74.37
obeeahpf-1,Cluster 7,0,9.84
mijeblmg-1,Cluster 7,0,65.79
mijdicme-1,Cluster 2,0,12.51
mijhjceb-1,Cluster 7,0,50.62
miionfgm-1,Cluster 1,0,64.84
miipnlog-1,Cluster 6,0,58.93
bbcgmndi-1,Cluster 9,1,227.32
miipaldb-1,Cluster 9,0,145.04
miiohbei-1,Cluster 9,0,143.55
mijbpach-1,Cluster 9,1,187.35
mlopjmgj-1,Cluster 6,0,60.96
mijdpjom-1,Cluster 1,0,91.62
baoigbib-1,Cluster 31,0,156.01
mlophjod-1,Cluster 6,0,76.77
baohnpfo-1,Cluster 9,0,149.78
mlpcdjck-1,Cluster 7,2,85.35
baocjnhl-1,Cluster 9,1,200.31
baobogje-1,Cluster 9,0,179.59
baoblhfj-1,Cluster 9,0,161.66
obebneeh-1,Cluster 12,0,92.12
mmhoeeai-1,Cluster 9,0,58.34
mlpamcde-1,Cluster 7,3,119.53
mlpcmcbd-1,Cluster 2,0,29.71
mmhleeno-1,Cluster 24,0,111.40
mmhoedfo-1,Cluster 6,2,58.88
mlopfhpm-1,Cluster 2,0,65.75
baommnfm-1,Cluster 9,0,194.08
mlpbmeka-1,Cluster 7,0,52.07
mijbdaig-1,Cluster 2,1,99.03
mmeggdfn-1,Cluster 9,0,119.89
mijejnpl-1,Cluster 7,1,98.71
