#Selection name: Selection 1
#Area (µm^2): 4378331.15
Cell ID,Cluster,Transcripts,Area (µm^2)
mflcicnd-1,Cluster 5,0,98.40
mflbgnek-1,Cluster 16,0,75.50
obnbddlp-1,Cluster 5,0,102.91
bjklkpjp-1,Cluster 5,0,137.05
ohbkjbaj-1,Cluster 3,0,26.06
mflodmch-1,Cluster 5,0,113.21
bjkmmlcg-1,Cluster 5,0,169.88
ohbifeol-1,Cluster 8,0,97.49
obkpeoda-1,Cluster 25,0,140.26
mfjghban-1,Cluster 2,0,69.36
mfjanbcg-1,Cluster 18,0,198.87
mfjbdaam-1,Cluster 18,0,131.95
bjkncdea-1,Cluster 18,0,233.14
mfjckcgp-1,Cluster 27,0,200.36
mfjdhmhi-1,Cluster 11,0,112.94
obkofckj-1,Cluster 18,0,72.57
mfljgeme-1,Cluster 7,0,80.56
mfipkdfh-1,Cluster 18,0,97.72
obleepjm-1,Cluster 18,0,100.83
bjkjjmog-1,Cluster 27,0,182.39
obmobbkc-1,Cluster 18,0,240.05
obkpbobc-1,Cluster 32,0,75.64
mfiplekm-1,Cluster 26,0,190.02
obknjdfh-1,Cluster 18,0,166.27
mfjbebbi-1,Cluster 3,0,39.78
bjkjgjic-1,Cluster 15,0,207.90
obncfdpo-1,Cluster 18,0,109.64
mfjmhiln-1,Cluster 3,0,119.62
mfjhedbj-1,Cluster 18,0,284.67
mfjbhihc-1,Cluster 8,0,61.41
mfjnapgo-1,Cluster 18,0,144.23
mfjbfgij-1,Cluster 15,0,161.48
mfjjaaja-1,Cluster 27,0,211.33
bjkkajfd-1,Cluster 18,0,151.82
bjkohmio-1,Cluster 18,0,240.68
mfjnblgl-1,Cluster 6,0,92.89
obkomhak-1,Cluster 18,0,306.93
mfjcmegg-1,Cluster 2,0,66.06
ohbjmjhk-1,Cluster 14,0,267.69
obleaedk-1,Cluster 27,0,261.73
bjihknpf-1,Cluster 22,0,259.83
mfjndknk-1,Cluster 14,0,51.07
bjipdifa-1,Cluster 18,0,242.67
bjiohhbk-1,Cluster 2,0,388.66
bjioeemm-1,Cluster 22,0,190.38
bjimfcnc-1,Cluster 27,0,303.63
