names,scores,logfoldchanges,pvals,pvals_adj
Gm21294,0.051929355,20.800585,0.9585849828225912,1.0
Vmn2r52,0.051929355,20.250015,0.9585849828225912,1.0
Vmn1r66,0.051929355,20.703941,0.9585849828225912,1.0
Tbx3os2,0.051929355,20.698801,0.9585849828225912,1.0
Gm45052,0.051929355,20.685785,0.9585849828225912,1.0
Gm43192,0.051929355,20.573908,0.9585849828225912,1.0
Serpinb3d,0.051929355,20.567354,0.9585849828225912,1.0
Gm47375,0.051929355,20.623314,0.9585849828225912,1.0
Slc38a8,0.051929355,20.27415,0.9585849828225912,1.0
Clca4b,0.051929355,20.761345,0.9585849828225912,1.0
Phf11b,0.051929355,20.697094,0.9585849828225912,1.0
Ceacam15,0.051929355,20.556356,0.9585849828225912,1.0
Gm47923,0.051929355,20.758623,0.9585849828225912,1.0
4930553E22Rik,0.051929355,20.89242,0.9585849828225912,1.0
Gm17555,0.051929355,20.572392,0.9585849828225912,1.0
Vmn2r20,0.051929355,20.596127,0.9585849828225912,1.0
Gm17096,0.051929355,20.38836,0.9585849828225912,1.0
Chil4,0.051929355,20.856361,0.9585849828225912,1.0
1700064J06Rik,0.051929355,20.519444,0.9585849828225912,1.0
Gm15908,0.051929355,20.413637,0.9585849828225912,1.0
Emilin3,0.051929355,20.535667,0.9585849828225912,1.0
Gm43357,0.051929355,20.728857,0.9585849828225912,1.0
Clec2m,0.051929355,20.908504,0.9585849828225912,1.0
Gm47946,0.051929355,20.604418,0.9585849828225912,1.0
Gm20670,0.051929355,20.537376,0.9585849828225912,1.0
Gm44633,0.051929355,20.787746,0.9585849828225912,1.0
Defb26,0.051929355,20.464823,0.9585849828225912,1.0
Gm48129,0.051929355,20.587389,0.9585849828225912,1.0
Gm11465,0.051929355,20.600782,0.9585849828225912,1.0
A630076J17Rik,0.051929355,20.848383,0.9585849828225912,1.0
Rfpl4,0.051929355,20.578974,0.9585849828225912,1.0
Gm39228,0.051929355,20.443079,0.9585849828225912,1.0
Gm20616,0.051929355,20.400171,0.9585849828225912,1.0
Adad2,0.051929355,20.593807,0.9585849828225912,1.0
Vmn2r118,0.051929355,20.469177,0.9585849828225912,1.0
Stra8,0.051929355,20.256098,0.9585849828225912,1.0
C1rb,0.051929355,20.705086,0.9585849828225912,1.0
